date,percent_responding_right,percent_responding_wrong
2/8/16,46,42
9/8/16,45,44
17/08/16,46,43
23/08/16,45,43
31/08/16,47,44
14/09/16,46,43
12/10/16,45,44
20/10/16,45,44
15/11/16,46,43
29/11/16,44,45
5/12/16,44,42
19/12/16,44,44
4/1/17,47,43
10/1/17,46,42
18/01/17,46,42
31/01/17,45,42
13/02/17,46,42
22/02/17,45,45
28/02/17,45,44
14/03/17,44,42
15/03/17,46,41
21/03/17,44,44
27/03/17,44,43
6/4/17,46,42
13/04/17,45,43
19/04/17,46,43
21/04/17,44,44
26/04/17,43,45
3/5/17,46,43
10/5/17,44,45
14/05/17,45,41
17/05/17,46,43
25/05/17,46,43
31/05/17,44,45
7/6/17,45,45
13/06/17,44,45
22/06/17,44,45
11/7/17,45,43
19/07/17,43,43
1/8/17,45,45
22/08/17,43,45
31/08/17,44,44
24/09/17,44,45
11/10/17,42,47
19/10/17,42,45
20/10/17,42,44
24/10/17,43,45
8/11/17,42,46
5/12/17,42,45
11/12/17,44,45
20/12/17,42,45
8/1/18,42,46
17/01/18,45,44
29/01/18,40,46
6/2/18,43,44
13/02/18,42,46
20/02/18,42,45
27/02/18,44,45
6/3/18,43,45
23/03/18,44,48
27/03/18,42,45
10/4/18,42,46
17/04/18,42,45
25/04/18,42,45
1/5/18,42,47
9/5/18,43,45
14/05/18,44,45
21/05/18,43,44
29/05/18,40,47
5/6/18,44,44
12/6/18,43,46
19/06/18,43,44
20/06/18,44,45
26/06/18,43,46
4/7/18,41,46
9/7/18,42,46
11/7/18,41,46
17/07/18,42,47
23/07/18,42,46
9/8/18,42,45
13/08/18,43,47
14/08/18,43,45
21/08/18,41,47
29/08/18,42,47
4/9/18,42,48